"DriveNum","x","y","v","xped","yped","crash","rt","Rtotal"
36,3,-56,1,5,3,0,15.630757956254644,4876.007572276818
36,8,-48,1,1,-3,0,18.991133343396545,4876.007572276818
36,9,-46,1,-3,3,0,23.960946642972544,4876.007572276818
36,6,-38,1,-2,-3,0,4876.007572276818,4876.007572276818
37,5,-99,4,0,3,0,4.276666119016055,6703.855850082483
37,5,-78,3,0,-5,0,8.55333223803211,6703.855850082483
37,5,-70,2,0,0,0,12.136851176488221,6703.855850082483
37,5,-62,1,1,-5,0,17.10666447606422,6703.855850082483
37,6,-62,1,3,-3,0,20.977865486972114,6703.855850082483
37,9,-60,1,0,-4,0,24.001768637492802,6703.855850082483
37,9,-59,1,0,-2,0,27.02567178801349,6703.855850082483
37,9,-56,1,-5,-5,0,6703.855850082483,6703.855850082483
38,5,-99,4,0,5,0,4.276666119016055,6516.406242353657
38,5,-76,3,0,0,0,7.860185057472165,6516.406242353657
38,5,-63,2,-4,0,0,12.136851176488221,6516.406242353657
38,1,-55,1,-1,-3,0,6516.406242353657,6516.406242353657
39,5,-99,4,2,0,0,3.0239031505206873,25.793528106720853
39,7,-79,4,1,3,0,7.993716450096688,25.793528106720853
39,8,-56,4,-2,-4,0,12.963529749672688,25.793528106720853
39,6,-40,4,-4,-3,0,17.933343049248688,25.793528106720853
39,2,-25,3,-2,-1,0,21.516861987704797,25.793528106720853
39,0,-13,2,2,0,0,25.793528106720853,25.793528106720853
39,2,-5,1,-2,3,1,25.793528106720853,25.793528106720853
40,5,-99,4,-5,0,0,3.0239031505206873,6612.095612602083
40,0,-81,3,0,2,0,6.0478063010413745,6612.095612602083
40,0,-66,2,0,2,0,9.07170945156206,6612.095612602083
40,0,-56,1,0,5,0,6612.095612602083,6612.095612602083
41,5,-99,4,1,0,0,3.0239031505206873,2365.8778181548614
41,6,-79,4,1,4,0,7.993716450096688,2365.8778181548614
41,7,-55,4,0,4,0,12.270382569112744,2365.8778181548614
41,7,-31,4,2,0,0,15.16075432700891,2365.8778181548614
41,9,-11,4,0,1,0,18.184657477529598,2365.8778181548614
41,9,10,4,0,0,0,2365.8778181548614,2365.8778181548614
42,5,-99,4,4,0,0,2.330755969960742,2300.917117382746
42,9,-79,4,0,-3,0,5.354659120481429,2300.917117382746
42,9,-62,4,0,4,0,8.378562271002117,2300.917117382746
42,9,-38,4,-1,4,0,13.348375570578117,2300.917117382746
42,8,-14,4,0,4,0,17.625041689594173,2300.917117382746
42,8,10,4,1,0,0,2300.917117382746,2300.917117382746
43,5,-99,4,0,2,0,4.276666119016055,1675.3524312685977
43,5,-79,3,4,-1,0,8.55333223803211,1675.3524312685977
43,9,-65,3,0,-1,0,11.577235388552797,1675.3524312685977
43,9,-51,3,-1,-1,0,16.547048688128797,1675.3524312685977
43,8,-37,3,-1,4,0,21.516861987704797,1675.3524312685977
43,7,-18,3,-2,1,0,26.486675287280796,1675.3524312685977
43,5,-4,2,0,5,0,30.763341406296853,1675.3524312685977
43,5,13,3,4,3,0,1675.3524312685977,1675.3524312685977
44,5,-99,4,4,0,0,2.330755969960742,1838.3547913100688
44,9,-79,4,0,-5,0,5.354659120481429,1838.3547913100688
44,9,-64,4,-3,-4,0,10.324472420057429,1838.3547913100688
44,6,-48,4,3,-1,0,14.19567343096532,1838.3547913100688
44,9,-29,4,-4,4,0,19.16548673054132,1838.3547913100688
44,5,-7,3,-1,2,0,24.13530003011732,1838.3547913100688
44,4,7,2,5,3,0,29.10511332969332,1838.3547913100688
44,9,22,3,0,2,0,1838.3547913100688,1838.3547913100688
45,5,-99,4,-1,3,0,4.969813299576001,5814.771492647336
45,4,-78,3,1,2,0,9.939626599152001,5814.771492647336
45,5,-63,2,0,-3,0,14.216292718168056,5814.771492647336
45,5,-58,1,2,-4,0,19.186106017744056,5814.771492647336
45,7,-57,1,2,0,0,22.07647777564022,5814.771492647336
45,9,-52,1,0,0,0,24.407233745600962,5814.771492647336
45,9,-47,1,-5,3,0,5814.771492647336,5814.771492647336
46,5,-99,4,-4,0,0,3.0239031505206873,7928.131526939118
46,1,-81,3,3,-4,0,7.993716450096688,7928.131526939118
46,4,-72,2,0,-5,0,12.270382569112744,7928.131526939118
46,4,-69,1,-4,-4,0,7928.131526939118,7928.131526939118
47,5,-99,4,-2,5,0,4.969813299576001,5420.130567626585
47,3,-76,3,3,0,0,9.246479418592056,5420.130567626585
47,6,-61,3,-4,-4,0,14.216292718168056,5420.130567626585
47,2,-52,2,-2,0,0,17.10666447606422,5420.130567626585
47,0,-44,1,0,-1,0,5420.130567626585,5420.130567626585
48,5,-99,4,4,5,0,4.276666119016055,2424.8772373748466
48,9,-74,4,0,0,0,6.607422088976797,2424.8772373748466
48,9,-54,4,-4,-4,0,11.577235388552797,2424.8772373748466
48,5,-40,3,-4,1,0,16.547048688128797,2424.8772373748466
48,1,-26,2,-1,4,0,19.907424075270697,2424.8772373748466
48,0,-14,1,5,-2,0,2424.8772373748466,2424.8772373748466
49,5,-99,4,1,0,0,3.0239031505206873,2167.8942440677115
49,6,-79,4,0,-3,0,7.300569269536743,2167.8942440677115
49,6,-62,4,2,0,0,11.577235388552797,2167.8942440677115
49,8,-42,4,-2,0,0,15.853901507568853,2167.8942440677115
49,6,-22,4,3,-5,0,19.725102518476746,2167.8942440677115
49,9,-7,4,0,-5,0,22.749005668997434,2167.8942440677115
49,9,8,4,-2,3,0,2167.8942440677115,2167.8942440677115
50,5,-99,4,3,0,0,3.0239031505206873,1661.6094355275386
50,8,-79,4,0,5,0,7.300569269536743,1661.6094355275386
50,8,-54,4,1,2,0,10.660944656678643,1661.6094355275386
50,9,-32,4,-3,-3,0,15.630757956254644,1661.6094355275386
50,6,-15,4,0,-3,0,19.9074240752707,1661.6094355275386
50,6,2,4,0,-4,0,24.184090194286757,1661.6094355275386
50,6,18,4,-1,-2,0,1661.6094355275386,1661.6094355275386
51,5,-99,4,1,1,0,4.969813299576001,5627.585401873982
51,6,-78,4,-5,-1,0,9.939626599152001,5627.585401873982
51,1,-61,3,-1,-4,0,13.300001986293902,5627.585401873982
51,0,-52,2,2,-2,0,18.269815285869903,5627.585401873982
51,2,-46,1,-1,2,0,5627.585401873982,5627.585401873982
52,5,-99,4,-1,0,0,3.0239031505206873,6913.348375570578
52,4,-81,3,-4,4,0,7.300569269536743,6913.348375570578
52,0,-64,2,0,-3,0,10.324472420057429,6913.348375570578
52,0,-59,1,0,3,0,6913.348375570578,6913.348375570578
53,5,-99,4,-5,2,0,4.969813299576001,5814.0415227511385
53,0,-79,3,0,5,0,7.993716450096688,5814.0415227511385
53,0,-61,2,0,5,0,11.017619600617376,5814.0415227511385
53,0,-48,1,0,5,0,5814.0415227511385,5814.0415227511385
54,5,-99,4,-2,0,0,3.0239031505206873,7412.2497632819095
54,3,-81,3,-3,1,0,6.895104161428579,7412.2497632819095
54,0,-67,2,0,-5,0,9.919007311949265,7412.2497632819095
54,0,-64,1,0,0,0,7412.2497632819095,7412.2497632819095
55,5,-99,4,2,0,0,3.0239031505206873,1945.7814443997515
55,7,-79,4,2,2,0,6.607422088976797,1945.7814443997515
55,9,-57,4,0,-1,0,9.631325239497485,1945.7814443997515
55,9,-38,4,-3,-4,0,14.601138539073485,1945.7814443997515
55,6,-22,4,3,0,0,17.77919236942143,1945.7814443997515
55,9,-2,4,0,2,0,20.80309551994212,1945.7814443997515
55,9,20,4,0,5,0,1945.7814443997515,1945.7814443997515
56,5,-99,4,-3,0,0,3.0239031505206873,7012.655228390018
56,2,-81,3,-2,1,0,6.607422088976797,7012.655228390018
56,0,-67,2,0,-1,0,9.631325239497485,7012.655228390018
56,0,-60,1,0,2,0,7012.655228390018,7012.655228390018
57,5,-99,4,0,0,0,2.330755969960742,3501.2742956325505
57,5,-81,3,3,-1,0,7.300569269536743,3501.2742956325505
57,8,-67,3,-2,-3,0,12.270382569112744,3501.2742956325505
57,6,-55,3,-4,4,0,17.240195868688744,3501.2742956325505
57,2,-38,2,3,-2,0,22.210009168264744,3501.2742956325505
57,5,-32,1,4,4,0,26.4866752872808,3501.2742956325505
57,9,-23,1,-5,1,0,3501.2742956325505,3501.2742956325505
58,5,-99,4,0,3,0,4.276666119016055,2168.2997091758193
58,5,-78,3,4,5,0,8.55333223803211,2168.2997091758193
58,9,-58,3,0,1,0,11.577235388552797,2168.2997091758193
58,9,-42,3,-2,2,0,16.547048688128797,2168.2997091758193
58,7,-25,3,2,3,0,20.130567626584906,2168.2997091758193
58,9,-7,3,0,4,0,23.154470777105594,2168.2997091758193
58,9,12,3,-4,5,0,2168.2997091758193,2168.2997091758193
59,5,-99,4,-3,0,0,3.0239031505206873,7320.413999596459
59,2,-81,3,1,0,0,7.300569269536743,7320.413999596459
59,3,-68,2,-1,-3,0,12.270382569112744,7320.413999596459
59,2,-63,1,-1,-1,0,7320.413999596459,7320.413999596459
60,5,-99,4,2,0,0,3.0239031505206873,2295.1147896857133
60,7,-79,4,-4,1,0,7.993716450096688,2295.1147896857133
60,3,-60,3,1,3,0,12.963529749672688,2295.1147896857133
60,4,-44,2,5,1,0,17.933343049248688,2295.1147896857133
60,9,-33,2,0,3,0,20.957246199769376,2295.1147896857133
60,9,-20,2,-5,0,0,25.233912318785432,2295.1147896857133
60,4,-12,1,-2,-2,0,2295.1147896857133,2295.1147896857133
61,5,-99,4,-5,0,0,3.0239031505206873,6923.070631496233
61,0,-81,3,3,1,0,7.993716450096688,6923.070631496233
61,3,-67,2,0,0,0,11.577235388552797,6923.070631496233
61,3,-59,1,-3,1,0,6923.070631496233,6923.070631496233
62,5,-99,4,2,2,0,4.969813299576001,2302.6392568102083
62,7,-77,4,1,4,0,9.939626599152001,2302.6392568102083
62,8,-53,4,0,-2,0,14.216292718168056,2302.6392568102083
62,8,-35,4,1,5,0,17.576668105309956,2302.6392568102083
62,9,-10,4,0,-1,0,20.600571255830644,2302.6392568102083
62,9,9,4,-5,0,0,24.8772373748467,2302.6392568102083
62,4,29,4,2,-2,0,2302.6392568102083,2302.6392568102083
63,5,-99,4,3,0,0,3.0239031505206873,2326.7743573597327
63,8,-79,4,-2,2,0,7.993716450096688,2326.7743573597327
63,6,-57,4,-2,4,0,12.963529749672688,2326.7743573597327
63,4,-35,3,-1,-3,0,17.933343049248688,2326.7743573597327
63,3,-25,2,-3,4,0,21.80454406015658,2326.7743573597327
63,0,-13,1,1,2,0,2326.7743573597327,2326.7743573597327
64,5,-99,4,-5,0,0,3.0239031505206873,7522.21367971861
64,0,-81,3,0,-4,0,6.0478063010413745,7522.21367971861
64,0,-72,2,3,-1,0,11.017619600617376,7522.21367971861
64,3,-65,1,0,2,0,7522.21367971861,7522.21367971861
65,5,-99,4,3,0,0,3.0239031505206873,2098.758979417822
65,8,-79,4,1,0,0,5.691131357102642,2098.758979417822
65,9,-59,4,0,2,0,8.71503450762333,2098.758979417822
65,9,-37,4,0,3,0,11.738937658144017,2098.758979417822
65,9,-14,4,0,0,0,14.069693628104758,2098.758979417822
65,9,6,4,0,5,0,2098.758979417822,2098.758979417822
66,5,-99,4,-4,0,0,3.0239031505206873,7535.749453890777
66,1,-81,3,0,-2,0,7.300569269536743,7535.749453890777
66,1,-70,2,4,-3,0,12.270382569112744,7535.749453890777
66,5,-65,1,0,3,0,7535.749453890777,7535.749453890777
67,5,-99,4,4,0,0,2.330755969960742,3912.660613219643
67,9,-79,4,-5,1,0,7.300569269536743,3912.660613219643
67,4,-60,3,0,-1,0,11.577235388552797,3912.660613219643
67,4,-48,2,1,5,0,16.547048688128797,3912.660613219643
67,5,-35,1,2,2,0,21.516861987704797,3912.660613219643
